,path,w,h,k,use8neighbors,structure,read_file_time,convert_time,tiempo_algoritmo,disk_time,var,tiempo total,tiemp_algoritmo,tiempo algoritmo (millisegs),tiempo algoritmo,filename,clusters,iteration,iteracion,imagen
121,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,2566,1.0,1,reloj
122,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,858,1.0,1,reloj
123,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,858,1.0,1,reloj
124,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,2566,1.0,1,reloj
125,gray_clock.txt,141,141,10,1,2,13.0,141,45,2.0,48,203,45.0,43.0,45,gray_clock.txt,858,1.0,1,reloj
126,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,2566,1.0,1,reloj
127,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,2566,1.0,1,reloj
128,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,858,1.0,1,reloj
129,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,858,1.0,1,reloj
130,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,2566,1.0,1,reloj
131,gray_clock.txt,141,141,10,1,2,11.0,139,41,3.0,44,196,41.0,38.0,41,gray_clock.txt,858,1.0,1,reloj
132,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,2566,1.0,1,reloj
133,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,2566,1.0,1,reloj
134,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,858,1.0,1,reloj
135,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,858,1.0,1,reloj
136,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,2566,1.0,1,reloj
137,gray_clock.txt,141,141,10,1,2,12.0,139,40,3.0,43,196,40.0,37.0,40,gray_clock.txt,858,1.0,1,reloj
138,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,2566,1.0,1,reloj
139,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,2566,1.0,1,reloj
140,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,858,1.0,1,reloj
141,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,858,1.0,1,reloj
142,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,2566,1.0,1,reloj
143,gray_clock.txt,141,141,10,1,2,13.0,148,45,4.0,50,211,45.0,41.0,45,gray_clock.txt,858,1.0,1,reloj
144,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
145,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
146,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
147,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
148,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
149,gray_clock.txt,141,141,10,1,2,12.0,151,41,2.0,44,207,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
150,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
151,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
152,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
153,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
154,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
155,gray_clock.txt,141,141,10,1,2,13.0,139,41,2.0,44,197,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
156,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
157,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
158,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
159,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
160,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
161,gray_clock.txt,141,141,10,1,2,12.0,139,41,2.0,44,196,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
162,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,2566,1.0,1,reloj
163,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,2566,1.0,1,reloj
164,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,858,1.0,1,reloj
165,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,858,1.0,1,reloj
166,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,2566,1.0,1,reloj
167,gray_clock.txt,141,141,10,1,2,12.0,142,55,3.0,59,214,55.0,52.0,55,gray_clock.txt,858,1.0,1,reloj
168,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
169,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
170,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
171,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
172,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,2566,1.0,1,reloj
173,gray_clock.txt,141,141,10,1,2,12.0,143,39,2.0,42,197,39.0,37.0,39,gray_clock.txt,858,1.0,1,reloj
174,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
175,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
176,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
177,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
178,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,2566,1.0,1,reloj
179,gray_clock.txt,141,141,10,1,2,14.0,143,41,2.0,43,201,41.0,39.0,41,gray_clock.txt,858,1.0,1,reloj
180,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,1199,1.0,1,tanque
181,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,3942,1.0,1,tanque
182,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,3942,1.0,1,tanque
183,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,3942,1.0,1,tanque
184,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,1199,1.0,1,tanque
185,gray_tank.txt,141,141,10,0,0,11.0,178557,6311,2.0,6313,184883,6311.0,6309.0,6311,gray_tank.txt,1199,1.0,1,tanque
186,gray_tank.txt,141,141,10,1,0,11.0,125,8478,2.0,8480,8618,8478.0,8476.0,8478,gray_tank.txt,1199,1.0,1,tanque
187,gray_tank.txt,141,141,10,1,0,11.0,125,8478,2.0,8480,8618,8478.0,8476.0,8478,gray_tank.txt,3942,1.0,1,tanque
188,gray_tank.txt,141,141,10,1,0,11.0,125,8478,2.0,8480,8618,8478.0,8476.0,8478,gray_tank.txt,3942,1.0,1,tanque
189,gray_tank.txt,141,141,10,1,0,11.0,125,8478,2.0,8480,8618,8478.0,8476.0,8478,gray_tank.txt,3942,1.0,1,tanque
